Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,08/05/2026 23:30,Barclays Center,New York Liberty,Connecticut Sun,106 - 75
2,1,08/05/2026 23:30,Coca-Cola Coliseum,Toronto Tempo,Washington Mystics,65 - 68
3,1,09/05/2026 02:00,Climate Pledge Arena,Seattle Storm,Golden State Valkyries,80 - 91
4,1,09/05/2026 17:00,Gainbridge Fieldhouse,Indiana Fever,Dallas Wings,104 - 107
5,1,09/05/2026 19:30,T-Mobile Arena,Las Vegas Aces,Phoenix Mercury,66 - 99
10,1,10/05/2026 00:00,Target Center,Minnesota Lynx,Atlanta Dream,90 - 91
6,1,10/05/2026 01:00,Moda Center,Portland Fire,Chicago Sky,83 - 98
7,1,10/05/2026 17:00,Mohegan Sun Arena,Connecticut Sun,Seattle Storm,82 - 89
8,1,10/05/2026 19:00,CareFirst Arena,Washington Mystics,New York Liberty,93 - 98
9,1,10/05/2026 22:00,Crypto.com Arena,Los Angeles Sparks,Las Vegas Aces,78 - 105
11,1,11/05/2026 00:30,Chase Center,Golden State Valkyries,Phoenix Mercury,95 - 79
12,1,13/05/2026 00:00,College Park Center,Dallas Wings,Atlanta Dream,72 - 77
13,1,13/05/2026 02:00,Mortgage Matchup Center,Phoenix Mercury,Minnesota Lynx,84 - 88
14,1,13/05/2026 02:00,Moda Center,Portland Fire,New York Liberty,98 - 96
15,2,13/05/2026 23:00,Coca-Cola Coliseum,Toronto Tempo,Seattle Storm,86 - 73
16,2,14/05/2026 00:00,Mohegan Sun Arena,Connecticut Sun,Las Vegas Aces,69 - 98
17,2,14/05/2026 02:00,Chase Center,Golden State Valkyries,Chicago Sky,63 - 69
18,2,14/05/2026 02:30,Crypto.com Arena,Los Angeles Sparks,Indiana Fever,78 - 87
19,2,15/05/2026 00:00,College Park Center,Dallas Wings,Minnesota Lynx,86 - 90
20,2,15/05/2026 02:00,Moda Center,Portland Fire,New York Liberty,82 - 100
21,2,15/05/2026 23:30,Mohegan Sun Arena,Connecticut Sun,Las Vegas Aces,94 - 101
22,2,15/05/2026 23:30,Gainbridge Fieldhouse,Indiana Fever,Washington Mystics,102 - 104
23,2,16/05/2026 02:00,Crypto.com Arena,Los Angeles Sparks,Toronto Tempo,99 - 95
24,2,16/05/2026 02:00,Mortgage Matchup Center,Phoenix Mercury,Chicago Sky,91 - 83
26,2,17/05/2026 17:30,State Farm Arena,Atlanta Dream,Las Vegas Aces,84 - 85
27,2,17/05/2026 22:00,Gainbridge Fieldhouse,Indiana Fever,Seattle Storm,89 - 78
25,2,17/05/2026 23:00,Target Center,Minnesota Lynx,Chicago Sky,79 - 86
28,2,17/05/2026 23:00,Crypto.com Arena,Los Angeles Sparks,Toronto Tempo,96 - 106
29,2,19/05/2026 00:00,College Park Center,Dallas Wings,Washington Mystics,92 - 69
30,2,19/05/2026 02:00,Moda Center,Portland Fire,Connecticut Sun,83 - 82
31,2,20/05/2026 02:00,Mortgage Matchup Center,Phoenix Mercury,Toronto Tempo,90 - 98
32,3,20/05/2026 23:00,Gainbridge Fieldhouse,Indiana Fever,Portland Fire,90 - 73
33,3,21/05/2026 01:00,Wintrust Arena,Chicago Sky,Dallas Wings,89 - 99
34,3,21/05/2026 02:00,Climate Pledge Arena,Seattle Storm,Connecticut Sun,78 - 80
35,3,22/05/2026 00:00,Barclays Center,New York Liberty,Golden State Valkyries,70 - 87
36,3,22/05/2026 00:00,Target Center,Minnesota Lynx,Toronto Tempo,100 - 72
37,3,22/05/2026 02:00,Mortgage Matchup Center,Phoenix Mercury,Los Angeles Sparks,88 - 97
38,3,22/05/2026 23:30,Gateway Center Arena @ College Park,Atlanta Dream,Dallas Wings,86 - 69
39,3,22/05/2026 23:30,Gainbridge Fieldhouse,Indiana Fever,Golden State Valkyries,90 - 82
40,3,23/05/2026 02:00,Climate Pledge Arena,Seattle Storm,Connecticut Sun,77 - 59
41,3,23/05/2026 17:00,Wintrust Arena,Chicago Sky,Minnesota Lynx,75 - 85
42,3,23/05/2026 22:00,Coca-Cola Coliseum,Toronto Tempo,Portland Fire,80 - 99
43,3,24/05/2026 00:00,Michelob ULTRA Arena,Las Vegas Aces,Los Angeles Sparks,95 - 101
